,sample,filename
GSM5548755,GSM5548755,GSM5548755_204809970079_R05C01
GSM5548756,GSM5548756,GSM5548756_204809970079_R06C01
GSM5548757,GSM5548757,GSM5548757_204860850060_R01C01
GSM5548758,GSM5548758,GSM5548758_204860850062_R01C01
GSM5548759,GSM5548759,GSM5548759_204860850062_R02C01
GSM5548760,GSM5548760,GSM5548760_204860850060_R02C01
GSM5548761,GSM5548761,GSM5548761_204860850062_R03C01
GSM5548762,GSM5548762,GSM5548762_204860850062_R04C01
GSM5548763,GSM5548763,GSM5548763_204860850060_R03C01
GSM5548764,GSM5548764,GSM5548764_204860850062_R05C01
GSM5548765,GSM5548765,GSM5548765_204860850062_R06C01
GSM5548766,GSM5548766,GSM5548766_204860850060_R04C01
GSM5548767,GSM5548767,GSM5548767_204860850062_R07C01
GSM5548768,GSM5548768,GSM5548768_204860850062_R08C01
GSM5548769,GSM5548769,GSM5548769_204860850060_R05C01
GSM5548770,GSM5548770,GSM5548770_204920840075_R02C01
GSM5548771,GSM5548771,GSM5548771_204920840075_R01C01
GSM5548772,GSM5548772,GSM5548772_204860850060_R06C01
GSM5548773,GSM5548773,GSM5548773_204920840075_R03C01
GSM5548774,GSM5548774,GSM5548774_204920840075_R04C01
GSM5548775,GSM5548775,GSM5548775_204860850060_R07C01
GSM5548776,GSM5548776,GSM5548776_204920840075_R05C01
GSM5548777,GSM5548777,GSM5548777_204920840075_R06C01
GSM5548778,GSM5548778,GSM5548778_204860850060_R08C01
GSM5548779,GSM5548779,GSM5548779_204920840075_R07C01
GSM5548780,GSM5548780,GSM5548780_204920840075_R08C01
GSM5548781,GSM5548781,GSM5548781_204920840083_R01C01
GSM5548782,GSM5548782,GSM5548782_204920840097_R01C01
GSM5548783,GSM5548783,GSM5548783_204920840097_R02C01
GSM5548784,GSM5548784,GSM5548784_204920840083_R02C01
GSM5548785,GSM5548785,GSM5548785_204920840097_R03C01
GSM5548786,GSM5548786,GSM5548786_204920840097_R04C01
GSM5548787,GSM5548787,GSM5548787_204920840083_R03C01
GSM5548788,GSM5548788,GSM5548788_204920840097_R05C01
GSM5548789,GSM5548789,GSM5548789_204920840097_R06C01
GSM5548790,GSM5548790,GSM5548790_204920840083_R04C01
GSM5548791,GSM5548791,GSM5548791_204920840097_R07C01
GSM5548792,GSM5548792,GSM5548792_204920840097_R08C01
GSM5548793,GSM5548793,GSM5548793_204920840083_R05C01
GSM5548794,GSM5548794,GSM5548794_204920840127_R01C01
GSM5548795,GSM5548795,GSM5548795_204920840127_R02C01
GSM5548796,GSM5548796,GSM5548796_204920840083_R06C01
GSM5548797,GSM5548797,GSM5548797_204920840127_R03C01
GSM5548798,GSM5548798,GSM5548798_204920840127_R04C01
GSM5548799,GSM5548799,GSM5548799_204920840083_R07C01
GSM5548800,GSM5548800,GSM5548800_204920840127_R06C01
GSM5548801,GSM5548801,GSM5548801_204920840127_R05C01
GSM5548802,GSM5548802,GSM5548802_205121980085_R04C01
GSM5548803,GSM5548803,GSM5548803_205121980109_R07C01
GSM5548804,GSM5548804,GSM5548804_205121980109_R08C01
GSM5548805,GSM5548805,GSM5548805_205121980085_R05C01
GSM5548806,GSM5548806,GSM5548806_205121980112_R01C01
GSM5548807,GSM5548807,GSM5548807_205121980112_R02C01
GSM5548808,GSM5548808,GSM5548808_205121980085_R06C01
GSM5548809,GSM5548809,GSM5548809_205121980112_R03C01
GSM5548810,GSM5548810,GSM5548810_205121980112_R04C01
GSM5548811,GSM5548811,GSM5548811_205121980085_R07C01
GSM5548812,GSM5548812,GSM5548812_205121980112_R05C01
GSM5548813,GSM5548813,GSM5548813_205121980112_R06C01
GSM5548814,GSM5548814,GSM5548814_205121980085_R08C01
GSM5548815,GSM5548815,GSM5548815_205121980112_R07C01
GSM5548816,GSM5548816,GSM5548816_205121980112_R08C01
GSM5548817,GSM5548817,GSM5548817_205107400146_R01C01
GSM5548818,GSM5548818,GSM5548818_205107400146_R06C01
GSM5548819,GSM5548819,GSM5548819_205107400146_R07C01
GSM5548820,GSM5548820,GSM5548820_205107400146_R02C01
GSM5548821,GSM5548821,GSM5548821_205107400146_R04C01
GSM5548822,GSM5548822,GSM5548822_205107400146_R08C01
GSM5548823,GSM5548823,GSM5548823_205103220115_R08C01
GSM5548824,GSM5548824,GSM5548824_205107400146_R05C01
GSM5548825,GSM5548825,GSM5548825_205121980113_R08C01
